func_a,func_b,similarity
bftpd_list_count,bftpd_list_add,0.6666666666666666
bftpd_list_count,bftpd_list_get,0.6666666666666666
bftpd_list_count,bftpd_list_del,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_init,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_getcwd,0.6666666666666666
config_getoption,config_getoption_reread,0.8
config_getoption,getoption,0.6666666666666666
config_getoption_reread,config_getoption,0.8
config_getoption_reread,Reread_Config_File,0.6666666666666666
getoption_user,getoption,0.6666666666666666
bftpd_cwd_end,bftpd_cwd_mappath,0.6666666666666666
bftpd_cwd_end,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_end,bftpd_cwd_init,0.6666666666666666
bftpd_cwd_end,bftpd_cwd_getcwd,0.6666666666666666
getoption,config_getoption,0.6666666666666666
getoption,getoption_user,0.6666666666666666
getoption,getoption_directories,0.6666666666666666
getoption,getoption_group,0.6666666666666666
getoption,getoption_global,0.6666666666666666
dirlist,do_dirlist,0.6666666666666666
bftpd_cwd_chdir,bftpd_cwd_mappath,0.6666666666666666
bftpd_cwd_chdir,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_chdir,bftpd_cwd_init,0.6666666666666666
bftpd_cwd_chdir,bftpd_cwd_getcwd,0.6666666666666666
bftpd_list_add,bftpd_list_count,0.6666666666666666
bftpd_list_add,bftpd_list_get,0.6666666666666666
bftpd_list_add,bftpd_list_del,0.6666666666666666
Reread_Config_File,config_getoption_reread,0.6666666666666666
bftpd_cwd_init,bftpd_cwd_mappath,0.6666666666666666
bftpd_cwd_init,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_init,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_init,bftpd_cwd_getcwd,0.6666666666666666
getoption_directories,getoption,0.6666666666666666
parsecmd,admin_parsecmd,0.6666666666666666
do_dirlist,dirlist,0.6666666666666666
checkpass_pwd,checkpass,0.6666666666666666
bftpd_list_get,bftpd_list_count,0.6666666666666666
bftpd_list_get,bftpd_list_add,0.6666666666666666
bftpd_list_get,bftpd_list_del,0.6666666666666666
md5_sig_to_string,md5_sig_from_string,0.75
getoption_group,getoption,0.6666666666666666
md5_sig_from_string,md5_sig_to_string,0.75
checkpass,checkpass_pwd,0.6666666666666666
checkpass,checkpass_pam,0.6666666666666666
getoption_global,getoption,0.6666666666666666
bftpd_list_del,bftpd_list_count,0.6666666666666666
bftpd_list_del,bftpd_list_add,0.6666666666666666
bftpd_list_del,bftpd_list_get,0.6666666666666666
checkpass_pam,checkpass,0.6666666666666666
bftpd_cwd_getcwd,bftpd_cwd_mappath,0.6666666666666666
bftpd_cwd_getcwd,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_getcwd,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_getcwd,bftpd_cwd_init,0.6666666666666666
admin_parsecmd,parsecmd,0.6666666666666666
